,Id,groupId,matchId,assists,boosts,damageDealt,DBNOs,headshotKills,heals,killPlace,killPoints,kills,killStreaks,longestKill,matchDuration,matchType,maxPlace,numGroups,rankPoints,revives,rideDistance,roadKills,swimDistance,teamKills,vehicleDestroys,walkDistance,weaponsAcquired,winPoints,winPlacePerc
649996,21b0fd0ec94ef7,442ec2f27708b4,e9eb0a6a7c9d4e,0,1,75.0,1,0,1,63,1470,0,0,0.0,1435,squad-fpp,29,28,-1,0,0.0,0,0.0,0,0,1130.0,4,1547,0.5714
2442718,f9008be4acb219,ccd977135cd760,f89c94155d58ff,1,3,193.5,0,0,5,48,1224,0,0,0.0,1404,duo-fpp,47,46,0,1,3528.0,0,16.63,0,0,2348.0,6,1510,0.913
1718968,29ad4f814c4103,17f1e90d125a48,61cd229a9e326b,0,0,118.7,1,0,0,86,0,0,0,0.0,1362,duo,49,45,1494,0,0.0,0,0.0,0,0,55.38,1,0,0.0625
1370348,abd21c8436ae43,e3ffc568290f3d,39f72d0c0f62c9,0,0,0.0,0,0,0,58,0,0,0,0.0,1512,duo,46,46,1483,0,0.0,0,0.0,0,0,913.6,4,0,0.4889
1783975,3520687fb17451,319d6623142705,7036e14b342fba,0,0,300.0,3,0,0,41,0,1,1,7.624,1396,squad,26,25,1439,0,0.0,0,0.0,0,0,159.5,3,0,0.16
3991829,680a383f03bc4c,c87926e775c2a3,f46eed04795a8d,1,2,194.3,2,0,5,6,0,3,2,117.3,1405,squad,28,26,1443,1,2191.0,0,0.0,0,0,1364.0,8,0,0.5185
4442213,bba3651d995037,89b5753167be79,be1cf2ddfab3ef,1,1,243.4,0,0,0,43,1346,0,0,0.0,1432,squad-fpp,29,28,-1,2,0.0,0,0.0,0,0,3193.0,3,1542,0.8571
2136460,0b98259bd095b3,078f56612dfeec,dc0716495eb407,0,0,62.35,0,0,0,87,1000,0,0,0.0,1341,squad-fpp,30,30,-1,0,0.0,0,0.0,0,0,127.7,3,1500,0.1379
1306560,e6d0a85ff8b7f2,c956ae209901ea,e78f7b1a30789e,0,0,100.0,0,0,0,43,0,1,1,8.65,1881,solo-fpp,92,88,1494,0,0.0,0,0.0,0,0,61.84,1,0,0.1319
4044083,897181e641f457,01eb8764727285,4795c8ceb79a9c,1,0,137.7,0,0,0,30,0,1,1,1.839,1387,duo,45,43,1564,0,0.0,0,0.0,0,0,36.03,1,0,0.3864
3848471,e79f3a94e2cf8e,9b7b9b26462066,1cd24269a8af31,0,1,313.8,2,0,3,5,0,4,2,27.4,1447,squad-fpp,29,29,1528,1,0.0,0,0.0,0,0,1394.0,2,0,0.4643
875907,75eb0c86c44859,47d401c04f344d,3ccda25aaa06d0,0,5,126.0,0,0,0,13,0,2,1,68.93,1336,squad-fpp,28,28,1455,0,0.0,0,56.49,0,0,3300.0,4,0,1.0
3176003,fa71aeac8da0f1,06932ebe624b52,334da34bc54adf,0,0,41.76,0,0,0,93,1331,0,0,0.0,1278,duo-fpp,48,47,-1,0,0.0,0,0.0,0,0,13.77,0,1495,0.0425
90355,ee4bbfa34f1eb1,f39f6854293ca0,617032675d6296,0,0,22.25,0,0,0,82,0,0,0,0.0,1912,squad-fpp,26,26,1510,0,0.0,0,0.0,0,0,126.2,2,0,0.12
2734660,8039c16286fee2,a13046ce290d6b,d010519fa3f5e5,1,1,399.3,2,0,2,21,0,1,1,107.4,1891,squad-fpp,29,29,1483,0,2972.0,0,0.0,0,0,3256.0,6,0,1.0
3101312,8794d544944cce,336d54e941deb0,dfbfbe460e7c60,0,0,0.0,0,0,0,44,0,0,0,0.0,1371,squad-fpp,27,26,1465,0,0.0,0,0.0,0,0,2473.0,3,0,0.8462
1752471,f64fe0a74e10e4,32511e84879838,cdd462761fa734,0,1,0.0,0,0,1,43,0,0,0,0.0,1932,solo,94,90,1500,0,0.0,0,0.0,0,0,1640.0,8,0,0.8065
476238,22244629a7df0e,fbbfbdad8d73e3,0b70de6d74fe60,0,0,0.0,0,0,0,92,1000,0,0,0.0,1345,duo-fpp,49,47,-1,0,0.0,0,0.0,0,0,22.69,1,1500,0.0208
4357407,56d4b4061b0f24,1496928ba05dff,4859b2fc5dc43e,0,2,0.0,0,0,4,50,0,0,0,0.0,1467,squad-fpp,25,25,1542,0,0.0,0,0.0,0,0,2869.0,6,0,0.6667
423177,2c23760c54294a,9eee12d56e1d27,43dfca7abdcaff,0,0,0.0,0,0,0,76,0,0,0,0.0,1369,duo-fpp,49,48,1533,0,0.0,0,0.0,0,0,143.3,1,0,0.2292
4206698,4e9ab3fe7a2b6d,d3038ec396d578,93567587450bdb,0,0,325.0,3,2,1,10,1285,3,2,33.63,1453,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,509.4,5,1537,0.2963
607855,70743db26b18fd,3d722ab01f16bd,367f1a8352fcbc,1,3,0.0,0,0,2,57,0,0,0,0.0,1977,squad,26,25,1419,0,1290.0,0,0.0,0,0,1955.0,4,0,0.52
928620,71e3caab1e2b43,16291e40c18727,746b03e9541bef,0,1,249.7,2,1,19,4,0,4,3,91.14,1887,squad-fpp,31,28,1495,0,4690.0,0,0.0,0,0,3504.0,5,0,0.7
809777,def26b59d9c2a0,fb849ebaa0fbd0,2dbab3445f1f5e,1,3,925.6,4,2,4,1,0,7,2,100.2,1376,duo-fpp,46,44,1491,0,0.0,0,0.0,0,0,2057.0,6,0,1.0
2475586,7a2e531514b229,16064f0c240da9,503646bb4ac8c6,1,1,140.6,0,0,1,46,0,1,1,7.665,1371,solo,96,95,1489,0,0.0,0,0.0,0,0,257.0,6,0,0.3789
2951600,b7acf0d2339197,4995edf478e4c7,fbedfae82c1d66,1,5,730.2,4,1,2,4,1801,5,1,157.4,1384,squad,29,29,-1,0,0.0,0,0.0,0,0,2457.0,6,1611,0.9286
1511726,451a42e26e8489,42b4ba817cd477,67913db68791b4,0,0,0.0,0,0,0,53,0,0,0,0.0,1358,duo-fpp,48,45,1500,0,0.0,0,0.0,0,0,1175.0,2,0,0.6383
523375,c0ed699327a9ca,938bfa1e7ffd85,105a5c794cf455,0,0,0.0,0,0,0,92,1168,0,0,0.0,1973,squad-fpp,28,26,-1,0,0.0,0,0.0,0,0,46.78,3,1502,0.037
4105143,7c47d9719272df,4fdbe8d58fdb06,93bfda7f12693f,1,1,107.3,1,0,0,50,0,0,0,0.0,1366,squad-fpp,28,27,1461,1,0.0,0,0.0,0,0,3065.0,8,0,0.8148
1548303,d4d1bf9de91917,11c7a78c32dd6a,24a5ecb3d8aa77,0,0,0.0,0,0,0,79,0,0,0,0.0,1361,solo-fpp,96,95,1616,0,0.0,0,0.0,0,0,59.0,0,0,0.1895
1945010,f6d426848b66d0,d185d95eccbb5a,e39c3bcd5391f5,0,0,71.37,0,0,0,64,0,0,0,0.0,1443,squad-fpp,31,29,1500,0,0.0,0,0.0,0,0,168.1,2,0,0.3333
3770677,2d025b0af1f37d,e2ca58aecf322c,1351e6dec2c1a9,0,0,51.6,0,0,0,92,1529,0,0,0.0,1390,squad-fpp,28,27,-1,0,0.0,0,0.0,0,0,87.57,1,1475,0.0741
4211601,67fe3b1fd79bb4,374a5df194f5d6,d64e0c4f850780,0,1,86.62,0,0,0,64,1398,0,0,0.0,1892,squad-fpp,26,25,-1,2,2678.0,0,0.0,0,0,1037.0,4,1618,0.36
3792901,f8b8d70b52734a,b82c9ae1adb50a,6d43075d01f622,0,1,72.87,0,0,1,28,1040,1,1,21.44,1882,squad-fpp,26,26,-1,3,6273.0,0,0.0,0,1,1944.0,7,1504,0.6
3818581,b02aeecb9f8aaf,757c0fb5bd1da1,a4a6411b3c6e92,0,1,42.84,0,0,0,49,1086,0,0,0.0,1376,duo-fpp,50,47,-1,0,2018.0,0,0.0,0,0,2399.0,7,1536,0.9184
1959643,62dc122c317572,b8749df6523519,e5d4a316c29098,0,0,171.4,0,1,0,35,1000,1,1,11.33,1426,solo-fpp,98,95,0,0,0.0,0,0.0,0,0,301.5,4,1500,0.5361
3925710,ee58d3b1b772cf,661562a86ccca0,0f71437286fb4a,0,5,311.4,1,1,3,15,0,2,1,162.5,1389,squad-fpp,25,23,1545,0,0.0,0,93.02,0,0,1774.0,7,0,0.9167
1270424,2917088642f68a,40c22c7a941b7a,8179bfb61e0a79,0,1,232.0,2,2,2,6,0,3,1,33.39,1410,squad-fpp,25,23,1443,0,0.0,0,0.0,0,0,2218.0,6,0,0.7917
2842453,b67bb97742c91c,febb8d597b7fa1,46fc5d2857eccd,0,0,56.33,0,0,0,92,0,0,0,0.0,1452,duo-fpp,50,49,1451,0,0.0,0,0.0,0,0,41.19,1,0,0.0612
3488556,e621bbefbdb735,b30f66b917edf8,9137f8009df79e,0,1,108.4,1,0,1,37,1060,1,1,4.655,1407,squad,28,27,-1,0,0.0,0,0.0,0,0,1926.0,3,1511,0.4815
3041593,a11bc61a67132c,49623d4057d1b7,8ddd66227e39f3,0,0,43.0,0,0,0,66,0,0,0,0.0,1370,squad-fpp,29,25,1431,0,0.0,0,28.9,0,0,145.9,2,0,0.1786
398920,700a488a2e6055,0697b949a5c435,ad5aa91567eafe,2,4,697.5,2,2,3,2,0,6,2,80.54,1411,duo-fpp,46,45,1593,1,0.0,0,0.4218,0,0,2698.0,7,0,0.8889
3038455,7b7d100a96d0d8,70c6c2236d29f4,ab3b02a6a4f8cc,0,3,9.07,1,0,4,20,1432,1,1,66.39,1404,squad-fpp,30,29,-1,2,381.5,0,156.5,0,0,2851.0,5,1559,1.0
377293,1ab97133a2cf5c,af48f7116bc99b,7ef6454e4880b2,0,3,473.6,2,1,5,2,0,6,2,135.4,1900,squad-fpp,26,26,1496,0,4678.0,0,0.0,0,0,3638.0,6,0,1.0
2861868,e5926aac92baab,eb67a59bfbc3ed,1451f079a8344c,0,0,43.93,1,0,0,39,0,1,1,2.59,1928,squad-fpp,29,25,1375,1,0.0,0,0.0,0,0,250.0,3,0,0.0
2456662,1a17068b542246,b3cad9e6661bad,125b83ac57f2ab,1,2,0.0,0,0,4,52,1056,0,0,0.0,1288,squad-fpp,30,30,-1,0,0.0,0,0.0,0,0,2175.0,6,1441,0.6552
3292066,23373de0fc89f7,47b5b1db5539dc,caa252aee6e0e7,0,0,100.0,1,0,0,42,0,1,1,4.441,1410,duo-fpp,50,46,1500,0,0.0,0,0.0,0,0,180.2,4,0,0.2449
2719430,477fa732ae439a,c4b4385ce8715e,49bc72367a4b0f,0,0,100.0,1,0,0,84,0,0,0,0.0,1908,duo-fpp,47,44,1520,0,0.0,0,0.0,0,0,123.1,3,0,0.1087
449609,acf488ec00e8a2,eacea8f2d35327,36ad1b78eb61ba,1,2,502.6,3,0,4,28,1251,1,1,8.458,1845,squad,28,28,-1,1,5284.0,0,9.57,0,0,2092.0,3,1548,0.8148
2509803,6681767936c01e,2b9d2ef7a19ee0,87e8a757a82ff0,0,0,0.0,0,0,0,86,0,0,0,0.0,1828,squad-fpp,31,29,1508,0,735.3,0,0.0,0,0,155.4,2,0,0.1333
2020666,5049153bb08340,36895fbb44dff6,db2201a2dcb5a1,0,0,28.98,0,0,0,78,0,0,0,0.0,1866,duo-fpp,46,46,1500,1,0.0,0,0.0,0,0,174.9,1,0,0.2
1728859,c633b4036e73ad,a4223436fbb647,273c56aa65aa0a,0,0,0.0,0,0,0,49,0,0,0,0.0,1350,duo-fpp,45,43,1539,0,0.0,0,0.0,0,0,1229.0,4,0,0.5909
1313585,bd4d1a83629f7b,3a7a14813f71bf,3082bf71fb2409,0,0,316.1,3,0,0,7,1656,4,2,41.64,1212,squad-fpp,26,25,-1,1,0.0,0,0.0,0,0,124.0,2,1520,0.12
985426,36572849e1b178,8ffef9a1d9f7e0,6bce971e22164e,0,3,303.7,0,2,1,10,0,3,1,79.33,1385,solo-fpp,92,91,1515,0,0.0,0,0.0,0,0,1632.0,3,0,0.9231
4276308,5d8cfc0e08aba2,e57ba8739d4272,c1bc59e1a0410c,0,1,49.42,0,0,5,44,1099,0,0,0.0,1418,squad,26,26,-1,1,0.0,0,0.0,0,0,2217.0,6,1430,0.96
1697613,8b55dd5933cd8d,943b448f0eab53,9c4280eb115b6c,0,0,0.0,0,0,0,72,1011,0,0,0.0,1463,solo-fpp,98,94,-1,0,0.0,0,0.0,0,0,191.2,2,1401,0.3505
2273107,0d18fe5130bb2c,a8597b246f9721,dbfa6f7a8b25a2,0,5,0.0,0,0,6,42,0,0,0,0.0,1241,squad-fpp,27,25,1567,0,1162.0,0,0.0,0,0,2463.0,2,0,0.9231
3298868,fd5238553ec43d,4ab5bb691dbb7a,110b4a3369cdcf,1,4,374.1,1,2,9,7,1000,2,1,168.4,1731,duo,44,38,-1,0,0.0,0,0.0,1,0,2834.0,8,1500,0.9535
1708878,d68360eac9b08d,c791ba77f56fab,6fb59f45c50a95,0,0,0.0,0,0,0,71,0,0,0,0.0,1883,squad-fpp,26,26,1450,0,0.0,0,0.0,0,0,237.5,2,0,0.12
95239,2165e6b79817ca,037b1364309dda,e92c7299108bfc,0,0,11.88,0,0,1,55,1153,0,0,0.0,1888,squad-fpp,28,27,0,0,1264.0,0,66.23,0,0,6194.0,3,1535,0.7037
2595203,e0be11ae0e9442,9972dea0c3f3e5,16e0de4a0e8929,0,0,0.0,0,0,0,68,0,0,0,0.0,1413,solo,93,90,1503,0,0.0,0,0.0,0,0,139.2,4,0,0.2609
2972917,d86a66f9814b9a,32e0720d0758f1,584a5e24403c44,0,0,0.0,0,0,0,86,0,0,0,0.0,1359,squad-fpp,27,23,1324,0,0.0,0,0.0,0,0,8.802,0,0,0.0
2349768,b478bc59832277,a7af717e592ecc,406d36f7c8514f,0,1,0.0,0,0,0,77,1262,0,0,0.0,1374,squad-fpp,28,28,-1,0,0.0,0,0.0,0,0,394.8,1,1433,0.1481
3304771,24afafc02d915a,622153d15b977b,d708a2d93452fb,0,0,0.0,0,0,0,92,0,0,0,0.0,1925,solo-fpp,99,97,1473,0,0.0,0,0.0,0,0,126.3,1,0,0.0612
3785346,3e07f5a992030f,86d7a1dc6bed74,e949032bc7cb3b,0,0,0.0,0,0,0,86,1395,0,0,0.0,1822,squad-fpp,27,27,-1,0,0.0,0,0.0,0,0,0.0,0,1491,0.0
2952134,1de9d4a75113aa,be1d9bcd43ef6f,18a6a063b877b2,0,0,100.0,0,1,0,42,1421,1,1,3.08,1319,solo-fpp,96,96,-1,0,0.0,0,0.0,0,0,97.85,2,1555,0.2316
3456576,1d29fcdb01bf61,efef737362fbc3,b10e8738adafb9,0,0,160.6,0,0,0,40,1477,1,1,2.248,1259,squad-fpp,32,31,0,0,0.0,0,0.0,0,0,204.2,4,1461,0.2258
44350,d19724a4840b92,58c06776a59363,9d6547d9a2388c,0,0,3.68,0,0,0,45,1000,0,0,0.0,1792,squad-fpp,24,23,-1,0,2029.0,0,0.0,0,0,507.6,3,1500,0.5652
238561,7e5bde700ba767,f5ca1dc4fb2345,bb4864f3a946ff,0,0,123.1,0,0,0,81,0,0,0,0.0,1547,duo-fpp,48,48,1524,0,0.0,0,0.0,0,0,146.0,1,0,0.1489
2328222,42b0a49277e799,85a4a9db61392c,94a5d70ef1ad52,0,0,0.0,0,0,0,87,1449,0,0,0.0,1394,squad-fpp,27,25,-1,0,0.0,0,0.0,0,0,1.936,1,1470,0.0769
2284520,91b6b3a5823a25,444581b93363bb,a56e3a25c4e149,0,0,22.05,0,0,0,88,0,0,0,0.0,1371,duo,49,48,1487,0,0.0,0,0.0,0,0,51.14,1,0,0.0833
4279567,15c672d84af90b,477815c823ff95,f1d6a1bcc05d7a,0,0,0.0,0,0,0,54,1000,0,0,0.0,1432,duo,42,41,-1,0,0.0,0,11.88,0,0,32.92,0,1500,0.4634
2626122,cc67ceb74274de,25b7bf1b9ffb8a,67c2bb44529430,0,2,242.6,3,1,2,12,0,3,2,179.1,1759,squad-fpp,29,27,1502,1,0.4488,0,0.0,0,0,4065.0,6,0,0.9286
3321813,96151292f369e9,c9dbf7c6622044,fda4ee135a995f,0,0,0.0,0,0,0,62,1232,0,0,0.0,1412,solo-fpp,97,96,0,0,0.0,0,0.0,0,0,457.1,3,1532,0.5312
1111653,64ab9b3923d4b8,619dd366ce97aa,3b209973d3eb8e,1,0,5.0,0,0,0,85,1173,0,0,0.0,1387,duo-fpp,49,47,-1,0,0.0,0,0.0,0,0,11.76,0,1449,0.1458
3257428,3beb106d63e54e,40fc8ad8199419,beec66171c189b,0,0,0.0,0,0,0,74,0,0,0,0.0,1886,squad,27,26,1496,0,264.9,0,0.0,0,0,892.3,2,0,0.1923
3342548,3e48382629d306,4200987d572dcd,e7bd455363a06c,0,0,608.2,1,0,2,31,1023,1,1,8.971,1810,duo-fpp,48,46,-1,0,1918.0,0,0.0,0,0,1538.0,7,1488,0.5106
220691,23b1a2d98f276d,6e4201d42ae1bd,6c25f9f05c046a,0,0,0.0,0,0,0,46,0,0,0,0.0,1292,duo-fpp,49,46,1487,0,0.0,0,0.0,0,0,666.0,5,0,0.9375
2734029,e0ab5ef7d7fc2d,f7654511261041,8baa5e86600a28,1,2,131.0,1,0,3,5,0,3,1,29.24,1174,duo-fpp,48,44,1492,1,0.0,0,0.0,0,0,1344.0,2,0,0.9574
68701,7a847c5e23a5d5,485c2bbba7e7a4,56dacc932296e7,2,5,243.8,2,0,6,11,0,2,1,80.56,1404,squad-fpp,25,24,1830,0,657.7,0,0.0,0,0,2989.0,3,0,0.875
